City,Latitude (decimal degrees),Longitude (decimal degrees),Latitude (degree),Latitude (minutes),Longitude (degree),Longitude (minutes)
Bozeman,45.78333333,-111.15,45,47,-111,9
Butte AP,45.95,-112.5,45,57,-112,30
Cut Bank AP,48.61666667,-112.3666667,48,37,-112,22
Glasgow AP (S),48.41666667,-106.5333333,48,25,-106,32
Glendive,47.13333333,-104.8,47,8,-104,48
Great Falls AP (S),47.48333333,-111.3666667,47,29,-111,22
Havre,48.56666667,-109.6666667,48,34,-109,40
Helena AP,46.6,-112,46,36,-112,0
Kalispell AP,48.3,-114.2666667,48,18,-114,16
Lewiston AP,47.06666667,-109.45,47,4,-109,27
Livingstown AP,45.7,-110.4333333,45,42,-110,26
Miles City AP,46.43333333,-105.8666667,46,26,-105,52
Missoula AP,46.91666667,-114.0833333,46,55,-114,5
Beatrice,40.26666667,-96.75,40,16,-96,45
Chadron AP,42.83333333,-103.0833333,42,50,-103,5
Columbus,41.46666667,-97.33333333,41,28,-97,20
Fremont,41.43333333,-96.48333333,41,26,-96,29
Grand Island AP,40.98333333,-98.31666667,40,59,-98,19
Hastings,40.6,-98.43333333,40,36,-98,26
Kearney,40.73333333,-99.01666667,40,44,-99,1
Lincoln Co (S),40.85,-96.75,40,51,-96,45
McCook,40.2,-100.6333333,40,12,-100,38
Norfolk,41.98333333,-97.43333333,41,59,-97,26
North Platte AP (S),41.13333333,-100.6833333,41,8,-100,41
Omaha AP,41.3,-95.9,41,18,-95,54
Scottsbluff AP,41.86666667,-103.6,41,52,-103,36
Sidney AP,41.21666667,-103.1,41,13,-103,6
Carson City,39.16666667,-119.7666667,39,10,-119,46
Elko AP,40.83333333,-115.7833333,40,50,-115,47
Ely AP (S),39.28333333,-114.85,39,17,-114,51
Las Vegas AP (S),36.08333333,-115.1666667,36,5,-115,10
Lovelock AP,40.06666667,-118.55,40,4,-118,33
Reno AP (S),39.5,-119.7833333,39,30,-119,47
Reno Co,39.5,-119.7833333,39,30,-119,47
Tonopah AP,38.06666667,-117.0833333,38,4,-117,5
Winnemucca AP,40.9,-117.8,40,54,-117,48
Berlin,44.05,-71.01666667,44,3,-71,1
Claremont,43.03333333,-72.03333333,43,2,-72,2
Concord AP,43.2,-71.5,43,12,-71,30
Keene,42.91666667,-72.28333333,42,55,-72,17
Laconia,43.05,-71.05,43,3,-71,3
"Manchester, Grenier AFB",42.93333333,-71.43333333,42,56,-71,26
"Portsmouth, Pease AFB",43.06666667,-70.81666667,43,4,-70,49
Atlantic City CO,39.38333333,-74.43333333,39,23,-74,26
Long Branch,40.31666667,-74.01666667,40,19,-74,1
Newark AP,40.7,-74.16666667,40,42,-74,10
New Brunswick,40.48333333,-74.43333333,40,29,-74,26
Paterson,40.9,-74.15,40,54,-74,9
Phillipsburg,40.68333333,-75.18333333,40,41,-75,11
Trenton Co,40.21666667,-74.76666667,40,13,-74,46
Vineland,39.48333333,-75,39,29,-75,0
Alamagordo°,32.9,-105.95,32,54,-105,57
Holloman AFB,32.85,-106.1,32,51,-106,6
Albuquerque AP (S),35.05,-106.6166667,35,3,-106,37
Artesia,32.76666667,-104.3833333,32,46,-104,23
Carlsbad AP,32.33333333,-104.2666667,32,20,-104,16
Clovis AP,34.38333333,-103.3166667,34,23,-103,19
Farmington AP,36.73333333,-108.2333333,36,44,-108,14
Gallup,35.51666667,-108.7833333,35,31,-108,47
Grants,35.16666667,-107.9,35,10,-107,54
Hobbs AP,32.75,-103.2166667,32,45,-103,13
Las Cruces,32.3,-106.9166667,32,18,-106,55
Los Alamos,35.86666667,-106.3166667,35,52,-106,19
Raton AP,36.75,-104.5,36,45,-104,30
"Roswell, Walker AFB",33.3,-104.5333333,33,18,-104,32
Santa Fe CO,35.61666667,-106.0833333,35,37,-106,5
Silver City AP,32.63333333,-108.1666667,32,38,-108,10
Socorro AP,34.05,-106.8833333,34,3,-106,53
Tucumcari AP,35.18333333,-103.6,35,11,-103,36
Albany AP (S),42.75,-73.8,42,45,-73,48
Albany Co,42.65,-73.75,42,39,-73,45
Auburn,42.9,-76.53333333,42,54,-76,32
Batavia,43,-78.18333333,43,0,-78,11
Binghamton AP,42.21666667,-75.98333333,42,13,-75,59
Buffalo AP,42.93333333,-78.73333333,42,56,-78,44
Cortland,42.6,-76.18333333,42,36,-76,11
Dunkirk,42.48333333,-79.26666667,42,29,-79,16
Elmira AP,42.16666667,-76.9,42,10,-76,54
Geneva (S),42.75,-76.9,42,45,-76,54
Glens Falls,43.33333333,-73.61666667,43,20,-73,37
Gloversville,43.03333333,-74.35,43,2,-74,21
Hornell,42.35,-77.7,42,21,-77,42
Ithaca (S),42.45,-76.48333333,42,27,-76,29
Jamestown,42.11666667,-79.23333333,42,7,-79,14
Kingston,41.93333333,-74,41,56,-74,0
Lockport,43.15,-79.25,43,9,-79,15
Massena AP,44.93333333,-74.85,44,56,-74,51
"Newburgh, Stewart AFB",41.5,-74.1,41,30,-74,6
NYC-Central Park (S),40.78333333,-73.96666667,40,47,-73,58
NYC-Kennedy AP,40.65,-73.78333333,40,39,-73,47
NYC-La Guardia AP,40.76666667,-73.9,40,46,-73,54
Niagara Falls AP,43.1,-79.95,43,6,-79,57
Olean,42.23333333,-78.36666667,42,14,-78,22
Oneonta,42.51666667,-75.06666667,42,31,-75,4
Oswego Co,43.46666667,-76.55,43,28,-76,33
Plattsburg AFB,44.65,-73.46666667,44,39,-73,28
Poughkeepsie,41.63333333,-73.91666667,41,38,-73,55
Rochester AP,43.11666667,-77.66666667,43,7,-77,40
"Rome, Griffiss AFB",43.23333333,-75.41666667,43,14,-75,25
Schenectady (S),42.85,-73.95,42,51,-73,57
Suffolk County AFB,40.85,-72.63333333,40,51,-72,38
Syracuse AP,43.11666667,-76.11666667,43,7,-76,7
Utica,43.15,-75.38333333,43,9,-75,23
Watertown,43.98333333,-76.01666667,43,59,-76,1
Asheville AP,35.43333333,-82.53333333,35,26,-82,32
Charlotte AP,35.21666667,-80.93333333,35,13,-80,56
Durham,35.86666667,-78.78333333,35,52,-78,47
Elizabeth City AP,36.26666667,-76.18333333,36,16,-76,11
"Fayetteville, Pope AFB",35.16666667,-79.01666667,35,10,-79,1
"Goldsboro,Seymour-Johnson",35.33333333,-77.96666667,35,20,-77,58
Greensboro AP (S),36.08333333,-79.95,36,5,-79,57
Greenville,35.61666667,-77.41666667,35,37,-77,25
Henderson,36.36666667,-78.41666667,36,22,-78,25
Hickory,35.75,-81.38333333,35,45,-81,23
Jacksonville,34.83333333,-77.61666667,34,50,-77,37
Lumberton,34.61666667,-79.06666667,34,37,-79,4
New Bern AP,35.08333333,-77.05,35,5,-77,3
Raleigh/Durham AP (S),35.86666667,-78.78333333,35,52,-78,47
Rocky Mount,35.96666667,-77.8,35,58,-77,48
Wilmington AP,34.26666667,-77.91666667,34,16,-77,55
Winston-Salem AP,36.13333333,-80.21666667,36,8,-80,13
Bismarck AP (S),46.76666667,-100.75,46,46,-100,45
Devils Lake,48.11666667,-98.9,48,7,-98,54
Dickinson AP,46.8,-102.8,46,48,-102,48
Fargo AP,46.9,-96.8,46,54,-96,48
Grand Forks AP,47.95,-97.4,47,57,-97,24
Jamestown AP,46.91666667,-98.68333333,46,55,-98,41
Minot AP,48.41666667,-101.35,48,25,-101,21
Williston,48.15,-103.5833333,48,9,-103,35
Akron-Canton AP,40.91666667,-81.43333333,40,55,-81,26
Ashtabula,41.85,-80.8,41,51,-80,48
Athens,39.33333333,-82.1,39,20,-82,6
Bowling Green,41.38333333,-83.63333333,41,23,-83,38
Cambridge,40.06666667,-81.58333333,40,4,-81,35
Chillicothe,39.35,-83,39,21,-83,0
Cincinnati Co,39.15,-84.51666667,39,9,-84,31
Cleveland AP (S),41.4,-81.85,41,24,-81,51
Columbus AP (S),40,-82.88333333,40,0,-82,53
Dayton AP,39.9,-84.21666667,39,54,-84,13
Defiance,41.28333333,-84.38333333,41,17,-84,23
Findlay AP,41.01666667,-83.66666667,41,1,-83,40
Fremont,41.33333333,-83.11666667,41,20,-83,7
Hamilton,39.4,-84.58333333,39,24,-84,35
Lancaster,39.73333333,-82.63333333,39,44,-82,38
Lima,40.7,-84.03333333,40,42,-84,2
Mansfield AP,40.81666667,-82.51666667,40,49,-82,31
Marion,40.6,-83.16666667,40,36,-83,10
Middletown,39.51666667,-84.41666667,39,31,-84,25
Newark,40.01666667,-82.46666667,40,1,-82,28
Norwalk,41.26666667,-82.61666667,41,16,-82,37
Portsmouth,38.75,-82.91666667,38,45,-82,55
Sandusky Co,41.45,-82.71666667,41,27,-82,43
Springfield,39.83333333,-83.83333333,39,50,-83,50
Steubenville,40.38333333,-80.63333333,40,23,-80,38
Toledo AP,41.6,-83.8,41,36,-83,48
Warren,41.33333333,-80.85,41,20,-80,51
Wooster,40.78333333,-81.91666667,40,47,-81,55
Youngstown AP,41.26666667,-80.66666667,41,16,-80,40
Zanesville AP,39.95,-81.9,39,57,-81,54
Ada,34.78333333,-96.68333333,34,47,-96,41
Altus AFB,34.65,-99.26666667,34,39,-99,16
Ardmore,34.3,-97.01666667,34,18,-97,1
Bartlesville,36.75,-96,36,45,-96,0
Chickasha,35.05,-97.91666667,35,3,-97,55
"Enid, Vance AFB",36.35,-97.91666667,36,21,-97,55
Lawton AP,34.56666667,-98.41666667,34,34,-98,25
McAlester,34.83333333,-95.91666667,34,50,-95,55
Muskogee AP,35.66666667,-95.36666667,35,40,-95,22
Norman,35.25,-97.48333333,35,15,-97,29
Oklahoma City AP (S),35.4,-97.6,35,24,-97,36
Ponca City,36.73333333,-97.1,36,44,-97,6
Seminole,35.23333333,-96.66666667,35,14,-96,40
Stillwater (S),36.16666667,-97.08333333,36,10,-97,5
Tulsa AP,36.2,-95.9,36,12,-95,54
Woodward,36.6,-99.51666667,36,36,-99,31
Albany,44.63333333,-123.1166667,44,38,-123,7
Astoria AP (S),46.15,-123.8833333,46,9,-123,53
Baker AP,44.83333333,-117.8166667,44,50,-117,49
Bend,44.06666667,-121.3166667,44,4,-121,19
Corvallis (S),44.5,-123.2833333,44,30,-123,17
Eugene AP,44.11666667,-123.2166667,44,7,-123,13
Grants Pass,42.43333333,-123.3166667,42,26,-123,19
Klamath Falls AP,42.15,-121.7333333,42,9,-121,44
Medford AP (S),42.36666667,-122.8666667,42,22,-122,52
Pendleton AP,45.68333333,-118.85,45,41,-118,51
Portland AP,45.6,-122.6,45,36,-122,36
Portland Co,45.53333333,-122.6666667,45,32,-122,40
Roseburg AP,43.23333333,-123.3666667,43,14,-123,22
Salem AP,44.91666667,-123.0166667,44,55,-123,1
The Dalles,45.6,-121.2,45,36,-121,12
Allentown AP,40.65,-75.43333333,40,39,-75,26
Altoona Co,40.3,-78.31666667,40,18,-78,19
Butler,40.86666667,-79.9,40,52,-79,54
Chambersburg,39.93333333,-77.63333333,39,56,-77,38
Erie AP,42.08333333,-80.18333333,42,5,-80,11
Harrisburg AP,40.2,-76.76666667,40,12,-76,46
Johnstown,40.31666667,-78.83333333,40,19,-78,50
Lancaster,40.11666667,-76.3,40,7,-76,18
Meadville,41.63333333,-80.16666667,41,38,-80,10
New Castle,41.01666667,-80.36666667,41,1,-80,22
Philadelphia AP,39.88333333,-75.25,39,53,-75,15
Pittsburgh AP,40.5,-80.21666667,40,30,-80,13
Pittsburgh Co,40.45,-80,40,27,-80,0
Reading Co,40.33333333,-75.63333333,40,20,-75,38
Scranton/Wilkes-Barre,41.33333333,-75.73333333,41,20,-75,44
State College (S),40.8,-77.86666667,40,48,-77,52
Sunbury,40.88333333,-76.76666667,40,53,-76,46
Uniontown,39.91666667,-79.71666667,39,55,-79,43
Warren,41.85,-79.13333333,41,51,-79,8
West Chester,39.96666667,-75.63333333,39,58,-75,38
Williamsport AP,41.25,-76.91666667,41,15,-76,55
York,39.91666667,-76.75,39,55,-76,45
Newport (S),41.5,-71.33333333,41,30,-71,20
Providence AP,41.73333333,-71.43333333,41,44,-71,26
Anderson,34.5,-82.71666667,34,30,-82,43
Charleston AFB (S),32.9,-80.03333333,32,54,-80,2
Charleston Co,32.9,-79.96666667,32,54,-79,58
Columbia AP,33.95,-81.11666667,33,57,-81,7
Florence AP,34.18333333,-79.71666667,34,11,-79,43
Georgetown,33.38333333,-79.28333333,33,23,-79,17
Greenville AP,34.9,-82.21666667,34,54,-82,13
Greenwood,34.16666667,-82.11666667,34,10,-82,7
Orangeburg,33.5,-80.86666667,33,30,-80,52
Rock Hill,34.98333333,-80.96666667,34,59,-80,58
Spartanburg AP,34.96666667,-82,34,58,-82,0
"Sumter, Shaw AFB",33.9,-80.36666667,33,54,-80,22
Aberdeen AP,45.45,-98.43333333,45,27,-98,26
Brookings,44.3,-96.8,44,18,-96,48
Huron AP,44.38333333,-98.21666667,44,23,-98,13
Mitchell,43.68333333,-98.01666667,43,41,-98,1
Pierre AP,44.38333333,-100.2833333,44,23,-100,17
Rapid City AP (S),44.05,-103.0666667,44,3,-103,4
Sioux Falls AP,43.56666667,-96.73333333,43,34,-96,44
Watertown AP,44.91666667,-97.15,44,55,-97,9
Yankton,42.91666667,-97.38333333,42,55,-97,23
Athens,35.43333333,-84.58333333,35,26,-84,35
Bristol-Tri City AP,36.48333333,-82.4,36,29,-82,24
Chattanooga AP,35.03333333,-85.2,35,2,-85,12
Clarksville,36.55,-87.36666667,36,33,-87,22
Columbia,35.63333333,-87.03333333,35,38,-87,2
Dyersburg,36.01666667,-89.4,36,1,-89,24
Greenville,36.06666667,-82.83333333,36,4,-82,50
Jackson AP,35.6,-88.91666667,35,36,-88,55
Knoxville AP,35.81666667,-83.98333333,35,49,-83,59
Memphis AP,35.05,-90,35,3,-90,0
Murfreesboro,34.91666667,-86.46666667,34,55,-86,28
Nashville AP (S),36.11666667,-86.68333333,36,7,-86,41
Tullahoma,35.38333333,-86.08333333,35,23,-86,5
Abilene AP,32.41666667,-99.68333333,32,25,-99,41
Alice AP,27.73333333,-98.03333333,27,44,-98,2
Amarillo AP,35.23333333,-100.7,35,14,-100,42
Austin AP,30.3,-97.7,30,18,-97,42
Bay City,29,-95.96666667,29,0,-95,58
Beaumont,29.95,-94.01666667,29,57,-94,1
Beeville,28.36666667,-97.66666667,28,22,-97,40
Big Spring AP (S),32.3,-101.45,32,18,-101,27
Brownsville AP (S),25.9,-97.43333333,25,54,-97,26
Brownwood,31.8,-98.95,31,48,-98,57
Bryan AP,30.66666667,-96.55,30,40,-96,33
Corpus Christi AP,27.76666667,-97.5,27,46,-97,30
Corsicana,32.08333333,-96.46666667,32,5,-96,28
Dallas AP,32.85,-96.85,32,51,-96,51
"Del Rio, Laughlin AFB",29.36666667,-100.7833333,29,22,-100,47
Denton,33.2,-97.1,33,12,-97,6
Eagle Pass,28.86666667,-100.5333333,28,52,-100,32
El Paso AP (S),31.8,-106.4,31,48,-106,24
Fort Worth AP (S),32.83333333,-97.05,32,50,-97,3
Galveston AP,29.3,-94.8,29,18,-94,48
Greenville,33.06666667,-96.05,33,4,-96,3
Harlingen,26.23333333,-97.65,26,14,-97,39
Houston AP,29.96666667,-95.35,29,58,-95,21
Houston Co,29.98333333,-95.36666667,29,59,-95,22
Huntsville,30.71666667,-95.55,30,43,-95,33
"Killeen, Robert Gray AAF",31.08333333,-97.68333333,31,5,-97,41
Lamesa,32.7,-101.9333333,32,42,-101,56
Laredo AFB,27.53333333,-99.45,27,32,-99,27
Longview,32.46666667,-94.73333333,32,28,-94,44
Lubbock AP,33.65,-101.8166667,33,39,-101,49
Lufkin AP,31.41666667,-94.8,31,25,-94,48
Mcallen,26.2,-98.21666667,26,12,-98,13
Midland AP (S),31.95,-102.1833333,31,57,-102,11
Mineral Wells AP,32.78333333,-98.06666667,32,47,-98,4
Palestine Co,31.78333333,-95.63333333,31,47,-95,38
Pampa,35.53333333,-100.9833333,35,32,-100,59
Pecos,31.41666667,-103.5,31,25,-103,30
Plainview,34.18333333,-101.7,34,11,-101,42
Port Arthur AP,29.95,-94.01666667,29,57,-94,1
San Angelo,31.45,-100.45,31,27,-100,27
Goodfellow AFB,31.43333333,-100.4,31,26,-100,24
San Antonio AP (S),29.53333333,-98.46666667,29,32,-98,28
"Sherman, Perrin AFB",33.71666667,-96.66666667,33,43,-96,40
Snyder,32.71666667,-100.9166667,32,43,-100,55
Temple,31.1,-97.35,31,6,-97,21
Tyler AP,32.35,-95.26666667,32,21,-95,16
Vernon,34.16666667,-99.3,34,10,-99,18
Victoria AP,28.85,-96.91666667,28,51,-96,55
Waco AP,31.61666667,-97.21666667,31,37,-97,13
Wichita Falls AP,33.96666667,-98.48333333,33,58,-98,29
Cedar City AP,37.7,-113.1,37,42,-113,6
Logan,41.75,-111.8166667,41,45,-111,49
Moab,38.6,-109.6,38,36,-109,36
Ogden AP,41.2,-112.0166667,41,12,-112,1
Price,39.61666667,-110.8333333,39,37,-110,50
Provo,40.21666667,-111.7166667,40,13,-111,43
Richfield,38.76666667,-112.0833333,38,46,-112,5
St George Co,37.03333333,-113.5166667,37,2,-113,31
Salt Lake City AP (S),40.76666667,-111.9666667,40,46,-111,58
Vernal AP,40.45,-109.5166667,40,27,-109,31
Barre,44.2,-72.51666667,44,12,-72,31
Burlington AP (S),44.46666667,-73.15,44,28,-73,9
Rutland,43.6,-72.96666667,43,36,-72,58
Charlottesville,38.03333333,-78.51666667,38,2,-78,31
Danville AP,36.56666667,-79.33333333,36,34,-79,20
Fredericksburg,38.3,-77.46666667,38,18,-77,28
Harrisonburg,38.45,-78.9,38,27,-78,54
Lynchburg AP,37.33333333,-79.2,37,20,-79,12
Norfolk AP,36.9,-76.2,36,54,-76,12
Petersburg,37.18333333,-77.51666667,37,11,-77,31
Richmond AP,37.5,-77.33333333,37,30,-77,20
Roanoke AP,37.31666667,-79.96666667,37,19,-79,58
Staunton,38.26666667,-78.9,38,16,-78,54
Winchester,39.2,-78.16666667,39,12,-78,10
Aberdeen,46.98333333,-123.8166667,46,59,-123,49
Bellingham AP,48.8,-122.5333333,48,48,-122,32
Bremerton,47.56666667,-122.6666667,47,34,-122,40
Ellensburg AP,47.03333333,-120.5166667,47,2,-120,31
"Everett, Paine AFB",47.91666667,-122.2833333,47,55,-122,17
Kennewick,46.21666667,-119.1333333,46,13,-119,8
Longview,46.16666667,-122.9333333,46,10,-122,56
"Moses Lake, Larson AFB",47.2,-119.3166667,47,12,-119,19
Olympia AP,46.96666667,-122.9,46,58,-122,54
Port Angeles,48.11666667,-123.4333333,48,7,-123,26
Seattle-Boeing Field,47.53333333,-122.3,47,32,-122,18
Seattle Co (S),47.65,-122.3,47,39,-122,18
Seattle-Tacoma AP (S),47.45,-122.3,47,27,-122,18
Spokane AP (S),47.63333333,-117.5166667,47,38,-117,31
"Tacoma, McChord AFB",47.25,-122.5,47,15,-122,30
Walla Walla AP,46.1,-118.2833333,46,6,-118,17
Wenatchee,47.41666667,-120.3166667,47,25,-120,19
Yakima AP,46.56666667,-120.5333333,46,34,-120,32
Beckley,37.78333333,-81.11666667,37,47,-81,7
Bluefield AP,37.3,-81.21666667,37,18,-81,13
Charleston AP,38.36666667,-81.6,38,22,-81,36
Clarksburg,39.26666667,-80.35,39,16,-80,21
Elkins AP,38.88333333,-79.85,38,53,-79,51
Huntington Co,38.41666667,-82.5,38,25,-82,30
Martinsburg AP,39.4,-77.98333333,39,24,-77,59
Morgantown AP,39.65,-79.91666667,39,39,-79,55
Parkersburg Co,39.26666667,-81.56666667,39,16,-81,34
Wheeling,40.11666667,-80.7,40,7,-80,42
Appleton,44.25,-88.38333333,44,15,-88,23
Ashland,46.56666667,-90.96666667,46,34,-90,58
Beloit,42.5,-89.03333333,42,30,-89,2
Eau Claire AP,44.86666667,-91.48333333,44,52,-91,29
Fond Du Lac,43.8,-88.45,43,48,-88,27
Green Bay AP,44.48333333,-88.13333333,44,29,-88,8
La Crosse AP,43.86666667,-91.25,43,52,-91,15
Madison AP (S),43.13333333,-89.33333333,43,8,-89,20
Manitowoc,44.1,-87.68333333,44,6,-87,41
Marinette,45.1,-87.63333333,45,6,-87,38
Milwaukee AP,42.95,-87.9,42,57,-87,54
Racine,42.71666667,-87.85,42,43,-87,51
Sheboygan,43.75,-87.71666667,43,45,-87,43
Stevens Point,44.5,-89.56666667,44,30,-89,34
Waukesha,43.01666667,-88.23333333,43,1,-88,14
Wausau AP,44.91666667,-89.61666667,44,55,-89,37
Casper AP,42.91666667,-106.4666667,42,55,-106,28
Cheyenne,41.15,-104.8166667,41,9,-104,49
Cody AP,44.55,-109.0666667,44,33,-109,4
Evanston,41.26666667,-110.95,41,16,-110,57
Lander AP (S),42.81666667,-108.7333333,42,49,-108,44
Laramie AP (S),41.31666667,-105.6833333,41,19,-105,41
Newcastle,43.85,-104.2166667,43,51,-104,13
Rawlins,41.8,-107.2,41,48,-107,12
Rock Springs AP,41.6,-109,41,36,-109,0
Sheridan AP,44.76666667,-106.9666667,44,46,-106,58
Torrington,42.08333333,-104.2166667,42,5,-104,13
